"","Units","scenario","region","sector","year","value"
"1","1975$/GJ","Control","Africa_Eastern","biomass",1975,1
"2","1975$/GJ","Control","Africa_Eastern","biomass",1990,1.50163
"3","1975$/GJ","Control","Africa_Eastern","biomass",2005,1.684
"4","1975$/GJ","Control","Africa_Eastern","biomass",2010,1.6464
"5","1975$/GJ","Control","Africa_Eastern","biomass",2015,1.7892
"6","1975$/GJ","Control","Africa_Eastern","biomass",2020,2.03188
"7","1975$/GJ","Control","Africa_Eastern","biomass",2025,1.49678
"8","1975$/GJ","Control","Africa_Eastern","biomass",2030,1.47561
"9","1975$/GJ","Control","Africa_Eastern","biomass",2035,1.48726
"10","1975$/GJ","Control","Africa_Eastern","biomass",2040,1.71119
"11","1975$/GJ","Control","Africa_Eastern","biomass",2045,1.96003
"12","1975$/GJ","Control","Africa_Eastern","biomass",2050,2.30218
"13","1975$/GJ","Control","Africa_Eastern","biomass",2055,2.76563
"14","1975$/GJ","Control","Africa_Eastern","biomass",2060,3.05512
"15","1975$/GJ","Control","Africa_Eastern","biomass",2065,3.27361
"16","1975$/GJ","Control","Africa_Eastern","biomass",2070,3.40551
"17","1975$/GJ","Control","Africa_Eastern","biomass",2075,3.58356
"18","1975$/GJ","Control","Africa_Eastern","biomass",2080,3.84863
"19","1975$/GJ","Control","Africa_Eastern","biomass",2085,4.18468
"20","1975$/GJ","Control","Africa_Eastern","biomass",2090,4.47439
"21","1975$/GJ","Control","Africa_Eastern","biomass",2095,4.65336
"22","1975$/GJ","Control","Africa_Eastern","biomass",2100,4.80194
"23","1975$/GJ","Control","Africa_Northern","biomass",1975,1
"24","1975$/GJ","Control","Africa_Northern","biomass",1990,0.934203
"25","1975$/GJ","Control","Africa_Northern","biomass",2005,0.963303
"26","1975$/GJ","Control","Africa_Northern","biomass",2010,1.05489
"27","1975$/GJ","Control","Africa_Northern","biomass",2015,1.11056
"28","1975$/GJ","Control","Africa_Northern","biomass",2020,1.19818
"29","1975$/GJ","Control","Africa_Northern","biomass",2025,1.18203
"30","1975$/GJ","Control","Africa_Northern","biomass",2030,1.25266
"31","1975$/GJ","Control","Africa_Northern","biomass",2035,1.326
"32","1975$/GJ","Control","Africa_Northern","biomass",2040,1.466
"33","1975$/GJ","Control","Africa_Northern","biomass",2045,1.68564
"34","1975$/GJ","Control","Africa_Northern","biomass",2050,1.99626
"35","1975$/GJ","Control","Africa_Northern","biomass",2055,2.34753
"36","1975$/GJ","Control","Africa_Northern","biomass",2060,2.53681
"37","1975$/GJ","Control","Africa_Northern","biomass",2065,2.68281
"38","1975$/GJ","Control","Africa_Northern","biomass",2070,2.78815
"39","1975$/GJ","Control","Africa_Northern","biomass",2075,2.9508
"40","1975$/GJ","Control","Africa_Northern","biomass",2080,3.21259
"41","1975$/GJ","Control","Africa_Northern","biomass",2085,3.56207
"42","1975$/GJ","Control","Africa_Northern","biomass",2090,3.90014
"43","1975$/GJ","Control","Africa_Northern","biomass",2095,4.14398
"44","1975$/GJ","Control","Africa_Northern","biomass",2100,4.38428
"45","1975$/GJ","Control","Africa_Southern","biomass",1975,1
"46","1975$/GJ","Control","Africa_Southern","biomass",1990,1.81739
"47","1975$/GJ","Control","Africa_Southern","biomass",2005,1.6908
"48","1975$/GJ","Control","Africa_Southern","biomass",2010,1.89335
"49","1975$/GJ","Control","Africa_Southern","biomass",2015,2.05851
"50","1975$/GJ","Control","Africa_Southern","biomass",2020,2.31972
"51","1975$/GJ","Control","Africa_Southern","biomass",2025,1.60153
"52","1975$/GJ","Control","Africa_Southern","biomass",2030,1.52009
"53","1975$/GJ","Control","Africa_Southern","biomass",2035,1.50701
"54","1975$/GJ","Control","Africa_Southern","biomass",2040,1.78937
"55","1975$/GJ","Control","Africa_Southern","biomass",2045,2.06667
"56","1975$/GJ","Control","Africa_Southern","biomass",2050,2.43817
"57","1975$/GJ","Control","Africa_Southern","biomass",2055,2.94156
"58","1975$/GJ","Control","Africa_Southern","biomass",2060,3.26264
"59","1975$/GJ","Control","Africa_Southern","biomass",2065,3.51112
"60","1975$/GJ","Control","Africa_Southern","biomass",2070,3.66633
"61","1975$/GJ","Control","Africa_Southern","biomass",2075,3.87599
"62","1975$/GJ","Control","Africa_Southern","biomass",2080,4.1805
"63","1975$/GJ","Control","Africa_Southern","biomass",2085,4.55035
"64","1975$/GJ","Control","Africa_Southern","biomass",2090,4.85278
"65","1975$/GJ","Control","Africa_Southern","biomass",2095,4.9996
"66","1975$/GJ","Control","Africa_Southern","biomass",2100,5.1506
"67","1975$/GJ","Control","Africa_Western","biomass",1975,1
"68","1975$/GJ","Control","Africa_Western","biomass",1990,1.19267
"69","1975$/GJ","Control","Africa_Western","biomass",2005,1.31831
"70","1975$/GJ","Control","Africa_Western","biomass",2010,1.42777
"71","1975$/GJ","Control","Africa_Western","biomass",2015,1.68138
"72","1975$/GJ","Control","Africa_Western","biomass",2020,2.07999
"73","1975$/GJ","Control","Africa_Western","biomass",2025,1.48102
"74","1975$/GJ","Control","Africa_Western","biomass",2030,1.45003
"75","1975$/GJ","Control","Africa_Western","biomass",2035,1.4499
"76","1975$/GJ","Control","Africa_Western","biomass",2040,1.65983
"77","1975$/GJ","Control","Africa_Western","biomass",2045,1.89248
"78","1975$/GJ","Control","Africa_Western","biomass",2050,2.2123
"79","1975$/GJ","Control","Africa_Western","biomass",2055,2.66057
"80","1975$/GJ","Control","Africa_Western","biomass",2060,2.95183
"81","1975$/GJ","Control","Africa_Western","biomass",2065,3.17736
"82","1975$/GJ","Control","Africa_Western","biomass",2070,3.31375
"83","1975$/GJ","Control","Africa_Western","biomass",2075,3.49393
"84","1975$/GJ","Control","Africa_Western","biomass",2080,3.75832
"85","1975$/GJ","Control","Africa_Western","biomass",2085,4.0896
"86","1975$/GJ","Control","Africa_Western","biomass",2090,4.37307
"87","1975$/GJ","Control","Africa_Western","biomass",2095,4.53725
"88","1975$/GJ","Control","Africa_Western","biomass",2100,4.67338
"89","1975$/GJ","Control","Argentina","biomass",1975,1
"90","1975$/GJ","Control","Argentina","biomass",1990,1.21242
"91","1975$/GJ","Control","Argentina","biomass",2005,1.09769
"92","1975$/GJ","Control","Argentina","biomass",2010,1.15992
"93","1975$/GJ","Control","Argentina","biomass",2015,1.19884
"94","1975$/GJ","Control","Argentina","biomass",2020,1.25094
"95","1975$/GJ","Control","Argentina","biomass",2025,1.17825
"96","1975$/GJ","Control","Argentina","biomass",2030,1.21274
"97","1975$/GJ","Control","Argentina","biomass",2035,1.25649
"98","1975$/GJ","Control","Argentina","biomass",2040,1.3897
"99","1975$/GJ","Control","Argentina","biomass",2045,1.55954
"100","1975$/GJ","Control","Argentina","biomass",2050,1.83548
"101","1975$/GJ","Control","Argentina","biomass",2055,2.16175
"102","1975$/GJ","Control","Argentina","biomass",2060,2.34688
"103","1975$/GJ","Control","Argentina","biomass",2065,2.49163
"104","1975$/GJ","Control","Argentina","biomass",2070,2.59341
"105","1975$/GJ","Control","Argentina","biomass",2075,2.74399
"106","1975$/GJ","Control","Argentina","biomass",2080,2.98272
"107","1975$/GJ","Control","Argentina","biomass",2085,3.29829
"108","1975$/GJ","Control","Argentina","biomass",2090,3.59673
"109","1975$/GJ","Control","Argentina","biomass",2095,3.80502
"110","1975$/GJ","Control","Argentina","biomass",2100,3.98861
"111","1975$/GJ","Control","Australia_NZ","biomass",1975,1
"112","1975$/GJ","Control","Australia_NZ","biomass",1990,1.45432
"113","1975$/GJ","Control","Australia_NZ","biomass",2005,1.46882
"114","1975$/GJ","Control","Australia_NZ","biomass",2010,1.42586
"115","1975$/GJ","Control","Australia_NZ","biomass",2015,1.45319
"116","1975$/GJ","Control","Australia_NZ","biomass",2020,1.49936
"117","1975$/GJ","Control","Australia_NZ","biomass",2025,1.34062
"118","1975$/GJ","Control","Australia_NZ","biomass",2030,1.33767
"119","1975$/GJ","Control","Australia_NZ","biomass",2035,1.3868
"120","1975$/GJ","Control","Australia_NZ","biomass",2040,1.54868
"121","1975$/GJ","Control","Australia_NZ","biomass",2045,1.76931
"122","1975$/GJ","Control","Australia_NZ","biomass",2050,2.07978
"123","1975$/GJ","Control","Australia_NZ","biomass",2055,2.44237
"124","1975$/GJ","Control","Australia_NZ","biomass",2060,2.64495
"125","1975$/GJ","Control","Australia_NZ","biomass",2065,2.80277
"126","1975$/GJ","Control","Australia_NZ","biomass",2070,2.91297
"127","1975$/GJ","Control","Australia_NZ","biomass",2075,3.07996
"128","1975$/GJ","Control","Australia_NZ","biomass",2080,3.34868
"129","1975$/GJ","Control","Australia_NZ","biomass",2085,3.7081
"130","1975$/GJ","Control","Australia_NZ","biomass",2090,4.05074
"131","1975$/GJ","Control","Australia_NZ","biomass",2095,4.29216
"132","1975$/GJ","Control","Australia_NZ","biomass",2100,4.50693
"133","1975$/GJ","Control","Brazil","biomass",1975,1
"134","1975$/GJ","Control","Brazil","biomass",1990,1.5801
"135","1975$/GJ","Control","Brazil","biomass",2005,1.47933
"136","1975$/GJ","Control","Brazil","biomass",2010,1.49343
"137","1975$/GJ","Control","Brazil","biomass",2015,1.46489
"138","1975$/GJ","Control","Brazil","biomass",2020,1.48249
"139","1975$/GJ","Control","Brazil","biomass",2025,1.3526
"140","1975$/GJ","Control","Brazil","biomass",2030,1.32893
"141","1975$/GJ","Control","Brazil","biomass",2035,1.33974
"142","1975$/GJ","Control","Brazil","biomass",2040,1.45438
"143","1975$/GJ","Control","Brazil","biomass",2045,1.64511
"144","1975$/GJ","Control","Brazil","biomass",2050,1.94376
"145","1975$/GJ","Control","Brazil","biomass",2055,2.3053
"146","1975$/GJ","Control","Brazil","biomass",2060,2.51702
"147","1975$/GJ","Control","Brazil","biomass",2065,2.68356
"148","1975$/GJ","Control","Brazil","biomass",2070,2.80109
"149","1975$/GJ","Control","Brazil","biomass",2075,2.97685
"150","1975$/GJ","Control","Brazil","biomass",2080,3.25279
"151","1975$/GJ","Control","Brazil","biomass",2085,3.61587
"152","1975$/GJ","Control","Brazil","biomass",2090,3.95761
"153","1975$/GJ","Control","Brazil","biomass",2095,4.1957
"154","1975$/GJ","Control","Brazil","biomass",2100,4.4065
"155","1975$/GJ","Control","Canada","biomass",1975,1
"156","1975$/GJ","Control","Canada","biomass",1990,1.2501
"157","1975$/GJ","Control","Canada","biomass",2005,1.30144
"158","1975$/GJ","Control","Canada","biomass",2010,1.29073
"159","1975$/GJ","Control","Canada","biomass",2015,1.24398
"160","1975$/GJ","Control","Canada","biomass",2020,1.2831
