out_lu_code,land_unit,out_reg_code,out_basin_code,gcam_reg_name,Basin_name,basin_abr,gcam_reg_code,gcam_basin_code
1,Africa_Eastern_AfrCstE,1,1,Africa_Eastern,Africa_East_Central_Coast,AfrCstE,2,171
2,Africa_Eastern_AfrCstNE,1,2,Africa_Eastern,Africa_Red_Sea_Gulf_of_Aden_Coast,AfrCstNE,2,100
3,Africa_Eastern_AfrIntN,1,3,Africa_Eastern,Africa_North_Interior,AfrIntN,2,144
4,Africa_Eastern_CongoR,1,4,Africa_Eastern,Congo,CongoR,2,183
5,Africa_Eastern_LChad,1,5,Africa_Eastern,Lake_Chad,LChad,2,151
6,Africa_Eastern_Madagascar,1,6,Africa_Eastern,Madagascar,Madagascar,2,177
7,Africa_Eastern_NileR,1,7,Africa_Eastern,Nile,NileR,2,87
8,Africa_Eastern_RiftValley,1,8,Africa_Eastern,Rift_Valley,RiftValley,2,179
9,Africa_Eastern_ShebJubR,1,9,Africa_Eastern,Shebelli_Juba,ShebJubR,2,170
10,Africa_Northern_AfrCstNE,2,1,Africa_Northern,Africa_Red_Sea_Gulf_of_Aden_Coast,AfrCstNE,3,100
11,Africa_Northern_AfrCstNW,2,2,Africa_Northern,Africa_North_West_Coast,AfrCstNW,3,86
12,Africa_Northern_AfrIntN,2,3,Africa_Northern,Africa_North_Interior,AfrIntN,3,144
13,Africa_Northern_DeadSea,2,4,Africa_Northern,Dead_Sea,DeadSea,3,95
14,Africa_Northern_LChad,2,5,Africa_Northern,Lake_Chad,LChad,3,151
15,Africa_Northern_MeditE,2,6,Africa_Northern,Mediterranean_Sea_East_Coast,MeditE,3,75
16,Africa_Northern_MeditS,2,7,Africa_Northern,Mediterranean_South_Coast,MeditS,3,80
17,Africa_Northern_NigerR,2,8,Africa_Northern,Niger,NigerR,3,149
18,Africa_Northern_NileR,2,9,Africa_Northern,Nile,NileR,3,87
19,Africa_Northern_SinaiP,2,10,Africa_Northern,Sinai_Peninsula,SinaiP,3,98
20,Africa_Southern_AfrCstE,3,1,Africa_Southern,Africa_East_Central_Coast,AfrCstE,4,171
21,Africa_Southern_AfrCstSE,3,2,Africa_Southern,Africa_Indian_Ocean_Coast,AfrCstSE,4,190
22,Africa_Southern_AfrCstSW,3,3,Africa_Southern,Namibia_Coast,AfrCstSW,4,196
23,Africa_Southern_AfrCstS,3,4,Africa_Southern,South_Africa_South_Coast,AfrCstS,4,198
24,Africa_Southern_AfrIntS,3,5,Africa_Southern,Africa_South_Interior,AfrIntS,4,197
