Year,Region,LandType_Basin,Vegetation,Soil
2085,Africa_Eastern,CornC4_AfrCstE,1.26431,1.07015
2085,Africa_Eastern,FiberCrop_AfrCstE,1.55564,1.29638
2085,Africa_Eastern,FodderGrass_AfrCstE,1.26389,1.06997
2085,Africa_Eastern,FodderHerb_AfrCstE,1.55564,1.29638
2085,Africa_Eastern,FodderHerbC4_AfrCstE,1.26431,1.07015
2085,Africa_Eastern,Forest_AfrCstE,1.20091,1.1021
2085,Africa_Eastern,Fruits_AfrCstE,1.55564,1.29638
2085,Africa_Eastern,FruitsTree_AfrCstE,1,1
2085,Africa_Eastern,Grassland_AfrCstE,1.26389,1.06997
2085,Africa_Eastern,Legumes_AfrCstE,1.55564,1.29638
2085,Africa_Eastern,MiscCrop_AfrCstE,1.55564,1.29638
2085,Africa_Eastern,MiscCropC4_AfrCstE,1.26431,1.07015
2085,Africa_Eastern,MiscCropTree_AfrCstE,1.20022,1.1021
2085,Africa_Eastern,NutsSeeds_AfrCstE,1.55564,1.29638
2085,Africa_Eastern,NutsSeedsTree_AfrCstE,1,1
2085,Africa_Eastern,OilCrop_AfrCstE,1.55564,1.29638
2085,Africa_Eastern,OilCropTree_AfrCstE,1.20022,1.1021
2085,Africa_Eastern,OilPalmTree_AfrCstE,1.20022,1.1021
2085,Africa_Eastern,OtherArableLand_AfrCstE,1.55564,1.29638
2085,Africa_Eastern,OtherGrain_AfrCstE,1.55564,1.29638
2085,Africa_Eastern,OtherGrainC4_AfrCstE,1.26431,1.07015
2085,Africa_Eastern,Pasture_AfrCstE,1.26389,1.06997
2085,Africa_Eastern,ProtectedGrassland_AfrCstE,1.26389,1.06997
2085,Africa_Eastern,ProtectedShrubland_AfrCstE,1.31922,1.07247
2085,Africa_Eastern,ProtectedUnmanagedForest_AfrCstE,1.20091,1.1021
2085,Africa_Eastern,ProtectedUnmanagedPasture_AfrCstE,1.26389,1.06997
2085,Africa_Eastern,Rice_AfrCstE,1.55564,1.29638
2085,Africa_Eastern,RockIceDesert_AfrCstE,1,1
2085,Africa_Eastern,RootTuber_AfrCstE,1.55564,1.29638
2085,Africa_Eastern,Shrubland_AfrCstE,1.31922,1.07247
2085,Africa_Eastern,Soybean_AfrCstE,1.55564,1.29638
2085,Africa_Eastern,SugarCrop_AfrCstE,1.55564,1.29638
2085,Africa_Eastern,SugarCropC4_AfrCstE,1.26431,1.07015
2085,Africa_Eastern,Tundra_AfrCstE,1,0.905895
2085,Africa_Eastern,UnmanagedForest_AfrCstE,1.20091,1.1021
2085,Africa_Eastern,UnmanagedPasture_AfrCstE,1.26389,1.06997
2085,Africa_Eastern,UrbanLand_AfrCstE,1,1
