Year,Region,LandType_Basin,Vegetation,Soil
2040,Africa_Eastern,CornC4_AfrCstE,1.14372,1.04652
2040,Africa_Eastern,FiberCrop_AfrCstE,1.10338,1.02001
2040,Africa_Eastern,FodderGrass_AfrCstE,1.14378,1.04642
2040,Africa_Eastern,FodderHerb_AfrCstE,1.10338,1.02001
2040,Africa_Eastern,FodderHerbC4_AfrCstE,1.14372,1.04652
2040,Africa_Eastern,Forest_AfrCstE,1.24862,1.0734
2040,Africa_Eastern,Fruits_AfrCstE,1.10338,1.02001
2040,Africa_Eastern,FruitsTree_AfrCstE,1,1
2040,Africa_Eastern,Grassland_AfrCstE,1.14378,1.04642
2040,Africa_Eastern,Legumes_AfrCstE,1.10338,1.02001
2040,Africa_Eastern,MiscCrop_AfrCstE,1.10338,1.02001
2040,Africa_Eastern,MiscCropC4_AfrCstE,1.14372,1.04652
2040,Africa_Eastern,MiscCropTree_AfrCstE,1.248,1.07318
2040,Africa_Eastern,NutsSeeds_AfrCstE,1.10338,1.02001
2040,Africa_Eastern,NutsSeedsTree_AfrCstE,1,1
2040,Africa_Eastern,OilCrop_AfrCstE,1.10338,1.02001
2040,Africa_Eastern,OilCropTree_AfrCstE,1.248,1.07318
2040,Africa_Eastern,OilPalmTree_AfrCstE,1.248,1.07318
2040,Africa_Eastern,OtherArableLand_AfrCstE,1.10338,1.02001
2040,Africa_Eastern,OtherGrain_AfrCstE,1.10338,1.02001
2040,Africa_Eastern,OtherGrainC4_AfrCstE,1.14372,1.04652
2040,Africa_Eastern,Pasture_AfrCstE,1.14378,1.04642
2040,Africa_Eastern,ProtectedGrassland_AfrCstE,1.14378,1.04642
2040,Africa_Eastern,ProtectedShrubland_AfrCstE,1.2816,1.10036
2040,Africa_Eastern,ProtectedUnmanagedForest_AfrCstE,1.24862,1.0734
2040,Africa_Eastern,ProtectedUnmanagedPasture_AfrCstE,1.14378,1.04642
2040,Africa_Eastern,Rice_AfrCstE,1.10338,1.02001
2040,Africa_Eastern,RockIceDesert_AfrCstE,1,1
2040,Africa_Eastern,RootTuber_AfrCstE,1.10338,1.02001
2040,Africa_Eastern,Shrubland_AfrCstE,1.2816,1.10036
2040,Africa_Eastern,Soybean_AfrCstE,1.10338,1.02001
2040,Africa_Eastern,SugarCrop_AfrCstE,1.10338,1.02001
2040,Africa_Eastern,SugarCropC4_AfrCstE,1.14372,1.04652
2040,Africa_Eastern,Tundra_AfrCstE,1,0.977014
2040,Africa_Eastern,UnmanagedForest_AfrCstE,1.24862,1.0734
2040,Africa_Eastern,UnmanagedPasture_AfrCstE,1.14378,1.04642
2040,Africa_Eastern,UrbanLand_AfrCstE,1,1
2040,Africa_Eastern,Vegetables_AfrCstE,1.10338,1.02001
2040,Africa_Eastern,Wheat_AfrCstE,1.10338,1.02001
2040,Africa_Eastern,biomassGrass_AfrCstE,1.14372,1.04652
2040,Africa_Eastern,biomassTree_AfrCstE,1.248,1.07318
2040,Africa_Eastern,CornC4_AfrCstNE,1.10022,1.03386
2040,Africa_Eastern,FiberCrop_AfrCstNE,1.20722,1.14311
2040,Africa_Eastern,FodderGrass_AfrCstNE,1.10736,1.03609
2040,Africa_Eastern,FodderHerb_AfrCstNE,1.20722,1.14311
2040,Africa_Eastern,FodderHerbC4_AfrCstNE,1.10022,1.03386
2040,Africa_Eastern,Forest_AfrCstNE,1.28389,1.10849
2040,Africa_Eastern,Fruits_AfrCstNE,1.20722,1.14311
2040,Africa_Eastern,FruitsTree_AfrCstNE,1,1
2040,Africa_Eastern,Grassland_AfrCstNE,1.10736,1.03609
2040,Africa_Eastern,Legumes_AfrCstNE,1.20722,1.14311
2040,Africa_Eastern,MiscCrop_AfrCstNE,1.20722,1.14311
2040,Africa_Eastern,MiscCropC4_AfrCstNE,1.10022,1.03386
2040,Africa_Eastern,MiscCropTree_AfrCstNE,1.28389,1.10849
2040,Africa_Eastern,NutsSeeds_AfrCstNE,1.20722,1.14311
2040,Africa_Eastern,NutsSeedsTree_AfrCstNE,1,1
2040,Africa_Eastern,OilCrop_AfrCstNE,1.20722,1.14311
2040,Africa_Eastern,OilCropTree_AfrCstNE,1.28389,1.10849
2040,Africa_Eastern,OilPalmTree_AfrCstNE,1.28389,1.10849
2040,Africa_Eastern,OtherArableLand_AfrCstNE,1.20722,1.14311
2040,Africa_Eastern,OtherGrain_AfrCstNE,1.20722,1.14311
2040,Africa_Eastern,OtherGrainC4_AfrCstNE,1.10022,1.03386
2040,Africa_Eastern,Pasture_AfrCstNE,1.10736,1.03609
2040,Africa_Eastern,ProtectedGrassland_AfrCstNE,1.10736,1.03609
2040,Africa_Eastern,ProtectedShrubland_AfrCstNE,0.7826,0.840032
2040,Africa_Eastern,ProtectedUnmanagedForest_AfrCstNE,1.28389,1.10849
2040,Africa_Eastern,ProtectedUnmanagedPasture_AfrCstNE,1.10736,1.03609
2040,Africa_Eastern,Rice_AfrCstNE,1.20722,1.14311
2040,Africa_Eastern,RockIceDesert_AfrCstNE,1,1
2040,Africa_Eastern,RootTuber_AfrCstNE,1.20722,1.14311
2040,Africa_Eastern,Shrubland_AfrCstNE,0.7826,0.840032
2040,Africa_Eastern,Soybean_AfrCstNE,1.20722,1.14311
2040,Africa_Eastern,SugarCrop_AfrCstNE,1.20722,1.14311
2040,Africa_Eastern,SugarCropC4_AfrCstNE,1.10022,1.03386
2040,Africa_Eastern,Tundra_AfrCstNE,1,0.956771
2040,Africa_Eastern,UnmanagedForest_AfrCstNE,1.28389,1.10849
2040,Africa_Eastern,UnmanagedPasture_AfrCstNE,1.10736,1.03609
2040,Africa_Eastern,UrbanLand_AfrCstNE,1,1
2040,Africa_Eastern,Vegetables_AfrCstNE,1.20722,1.14311
2040,Africa_Eastern,Wheat_AfrCstNE,1.20722,1.14311
2040,Africa_Eastern,biomassGrass_AfrCstNE,1.10022,1.03386
2040,Africa_Eastern,biomassTree_AfrCstNE,1.28389,1.10849
2040,Africa_Eastern,CornC4_AfrIntN,1.17027,1.02512
2040,Africa_Eastern,FiberCrop_AfrIntN,0.737937,0.808278
2040,Africa_Eastern,FodderGrass_AfrIntN,1.17027,1.02512
2040,Africa_Eastern,FodderHerb_AfrIntN,0.737937,0.808278
2040,Africa_Eastern,FodderHerbC4_AfrIntN,1.17027,1.02512
2040,Africa_Eastern,Forest_AfrIntN,1,1.04636
2040,Africa_Eastern,Fruits_AfrIntN,0.737937,0.808278
2040,Africa_Eastern,FruitsTree_AfrIntN,1,1
2040,Africa_Eastern,Grassland_AfrIntN,1.17027,1.02512
2040,Africa_Eastern,Legumes_AfrIntN,0.737937,0.808278
2040,Africa_Eastern,MiscCrop_AfrIntN,0.737937,0.808278
2040,Africa_Eastern,MiscCropC4_AfrIntN,1.17027,1.02512
2040,Africa_Eastern,MiscCropTree_AfrIntN,1,1.04636
2040,Africa_Eastern,NutsSeeds_AfrIntN,0.737937,0.808278
2040,Africa_Eastern,NutsSeedsTree_AfrIntN,1,1
2040,Africa_Eastern,OilCrop_AfrIntN,0.737937,0.808278
2040,Africa_Eastern,OilCropTree_AfrIntN,1,1.04636
2040,Africa_Eastern,OilPalmTree_AfrIntN,1,1.04636
2040,Africa_Eastern,OtherArableLand_AfrIntN,0.737937,0.808278
2040,Africa_Eastern,OtherGrain_AfrIntN,0.737937,0.808278
2040,Africa_Eastern,OtherGrainC4_AfrIntN,1.17027,1.02512
2040,Africa_Eastern,Pasture_AfrIntN,1.17027,1.02512
2040,Africa_Eastern,ProtectedGrassland_AfrIntN,1.17027,1.02512
2040,Africa_Eastern,ProtectedShrubland_AfrIntN,1,1
2040,Africa_Eastern,ProtectedUnmanagedForest_AfrIntN,1,1.04636
2040,Africa_Eastern,ProtectedUnmanagedPasture_AfrIntN,1.17027,1.02512
2040,Africa_Eastern,Rice_AfrIntN,0.737937,0.808278
2040,Africa_Eastern,RockIceDesert_AfrIntN,1,1
2040,Africa_Eastern,RootTuber_AfrIntN,0.737937,0.808278
2040,Africa_Eastern,Shrubland_AfrIntN,1,1
2040,Africa_Eastern,Soybean_AfrIntN,0.737937,0.808278
2040,Africa_Eastern,SugarCrop_AfrIntN,0.737937,0.808278
2040,Africa_Eastern,SugarCropC4_AfrIntN,1.17027,1.02512
2040,Africa_Eastern,Tundra_AfrIntN,1,1
2040,Africa_Eastern,UnmanagedForest_AfrIntN,1,1.04636
2040,Africa_Eastern,UnmanagedPasture_AfrIntN,1.17027,1.02512
2040,Africa_Eastern,UrbanLand_AfrIntN,1,1
2040,Africa_Eastern,Vegetables_AfrIntN,0.737937,0.808278
2040,Africa_Eastern,Wheat_AfrIntN,0.737937,0.808278
2040,Africa_Eastern,biomassGrass_AfrIntN,1.17027,1.02512
2040,Africa_Eastern,biomassTree_AfrIntN,1,1.04636
2040,Africa_Eastern,CornC4_CongoR,1.22315,1.12427
2040,Africa_Eastern,FiberCrop_CongoR,1.02619,1.00934
2040,Africa_Eastern,FodderGrass_CongoR,1.17859,1.07611
2040,Africa_Eastern,FodderHerb_CongoR,1.02619,1.00934
2040,Africa_Eastern,FodderHerbC4_CongoR,1.22315,1.12427
2040,Africa_Eastern,Forest_CongoR,1.106,1.08058
2040,Africa_Eastern,Fruits_CongoR,1.02619,1.00934
2040,Africa_Eastern,FruitsTree_CongoR,1,1
2040,Africa_Eastern,Grassland_CongoR,1.17859,1.07611
2040,Africa_Eastern,Legumes_CongoR,1.02619,1.00934
2040,Africa_Eastern,MiscCrop_CongoR,1.02619,1.00934
