Year,Region,LandType_Basin,Vegetation,Soil
2090,Africa_Eastern,CornC4_AfrCstE,1.32753,1.10304
2090,Africa_Eastern,FiberCrop_AfrCstE,1.38636,1.12607
2090,Africa_Eastern,FodderGrass_AfrCstE,1.32596,1.10262
2090,Africa_Eastern,FodderHerb_AfrCstE,1.38636,1.12607
2090,Africa_Eastern,FodderHerbC4_AfrCstE,1.32753,1.10304
2090,Africa_Eastern,Forest_AfrCstE,1.15303,1.10158
2090,Africa_Eastern,Fruits_AfrCstE,1.38636,1.12607
2090,Africa_Eastern,FruitsTree_AfrCstE,1,1
2090,Africa_Eastern,Grassland_AfrCstE,1.32596,1.10262
2090,Africa_Eastern,Legumes_AfrCstE,1.38636,1.12607
2090,Africa_Eastern,MiscCrop_AfrCstE,1.38636,1.12607
2090,Africa_Eastern,MiscCropC4_AfrCstE,1.32753,1.10304
2090,Africa_Eastern,MiscCropTree_AfrCstE,1.16836,1.10609
2090,Africa_Eastern,NutsSeeds_AfrCstE,1.38636,1.12607
2090,Africa_Eastern,NutsSeedsTree_AfrCstE,1,1
2090,Africa_Eastern,OilCrop_AfrCstE,1.38636,1.12607
2090,Africa_Eastern,OilCropTree_AfrCstE,1.16836,1.10609
2090,Africa_Eastern,OilPalmTree_AfrCstE,1.16836,1.10609
2090,Africa_Eastern,OtherArableLand_AfrCstE,1.38636,1.12607
2090,Africa_Eastern,OtherGrain_AfrCstE,1.38636,1.12607
2090,Africa_Eastern,OtherGrainC4_AfrCstE,1.32753,1.10304
2090,Africa_Eastern,Pasture_AfrCstE,1.32596,1.10262
2090,Africa_Eastern,ProtectedGrassland_AfrCstE,1.32596,1.10262
2090,Africa_Eastern,ProtectedShrubland_AfrCstE,1.34021,1.12509
2090,Africa_Eastern,ProtectedUnmanagedForest_AfrCstE,1.15303,1.10158
2090,Africa_Eastern,ProtectedUnmanagedPasture_AfrCstE,1.32596,1.10262
2090,Africa_Eastern,Rice_AfrCstE,1.38636,1.12607
2090,Africa_Eastern,RockIceDesert_AfrCstE,1,1
2090,Africa_Eastern,RootTuber_AfrCstE,1.38636,1.12607
2090,Africa_Eastern,Shrubland_AfrCstE,1.34021,1.12509
2090,Africa_Eastern,Soybean_AfrCstE,1.38636,1.12607
2090,Africa_Eastern,SugarCrop_AfrCstE,1.38636,1.12607
2090,Africa_Eastern,SugarCropC4_AfrCstE,1.32753,1.10304
2090,Africa_Eastern,Tundra_AfrCstE,1.59395,1.26143
2090,Africa_Eastern,UnmanagedForest_AfrCstE,1.15303,1.10158
2090,Africa_Eastern,UnmanagedPasture_AfrCstE,1.32596,1.10262
2090,Africa_Eastern,UrbanLand_AfrCstE,1,1
2090,Africa_Eastern,Vegetables_AfrCstE,1.38636,1.12607
2090,Africa_Eastern,Wheat_AfrCstE,1.38636,1.12607
2090,Africa_Eastern,biomassGrass_AfrCstE,1.32753,1.10304
2090,Africa_Eastern,biomassTree_AfrCstE,1.15006,1.1008
2090,Africa_Eastern,CornC4_AfrCstNE,1.04201,0.913513
2090,Africa_Eastern,FiberCrop_AfrCstNE,1.75774,1.4618
2090,Africa_Eastern,FodderGrass_AfrCstNE,1.05924,0.915073
2090,Africa_Eastern,FodderHerb_AfrCstNE,1.75774,1.4618
2090,Africa_Eastern,FodderHerbC4_AfrCstNE,1.04201,0.913513
2090,Africa_Eastern,Forest_AfrCstNE,1.53822,1.14497
2090,Africa_Eastern,Fruits_AfrCstNE,1.75774,1.4618
2090,Africa_Eastern,FruitsTree_AfrCstNE,1,1
2090,Africa_Eastern,Grassland_AfrCstNE,1.05924,0.915073
2090,Africa_Eastern,Legumes_AfrCstNE,1.75774,1.4618
2090,Africa_Eastern,MiscCrop_AfrCstNE,1.75774,1.4618
2090,Africa_Eastern,MiscCropC4_AfrCstNE,1.04201,0.913513
2090,Africa_Eastern,MiscCropTree_AfrCstNE,1.53822,1.14497
2090,Africa_Eastern,NutsSeeds_AfrCstNE,1.75774,1.4618
2090,Africa_Eastern,NutsSeedsTree_AfrCstNE,1,1
2090,Africa_Eastern,OilCrop_AfrCstNE,1.75774,1.4618
2090,Africa_Eastern,OilCropTree_AfrCstNE,1.53822,1.14497
2090,Africa_Eastern,OilPalmTree_AfrCstNE,1.53822,1.14497
2090,Africa_Eastern,OtherArableLand_AfrCstNE,1.75774,1.4618
2090,Africa_Eastern,OtherGrain_AfrCstNE,1.75774,1.4618
2090,Africa_Eastern,OtherGrainC4_AfrCstNE,1.04201,0.913513
2090,Africa_Eastern,Pasture_AfrCstNE,1.05924,0.915073
2090,Africa_Eastern,ProtectedGrassland_AfrCstNE,1.05924,0.915073
2090,Africa_Eastern,ProtectedShrubland_AfrCstNE,0.217587,0.394136
2090,Africa_Eastern,ProtectedUnmanagedForest_AfrCstNE,1.53822,1.14497
2090,Africa_Eastern,ProtectedUnmanagedPasture_AfrCstNE,1.05924,0.915073
2090,Africa_Eastern,Rice_AfrCstNE,1.75774,1.4618
2090,Africa_Eastern,RockIceDesert_AfrCstNE,1,1
2090,Africa_Eastern,RootTuber_AfrCstNE,1.75774,1.4618
2090,Africa_Eastern,Shrubland_AfrCstNE,0.217587,0.394136
2090,Africa_Eastern,Soybean_AfrCstNE,1.75774,1.4618
2090,Africa_Eastern,SugarCrop_AfrCstNE,1.75774,1.4618
2090,Africa_Eastern,SugarCropC4_AfrCstNE,1.04201,0.913513
2090,Africa_Eastern,Tundra_AfrCstNE,1,0.761067
2090,Africa_Eastern,UnmanagedForest_AfrCstNE,1.53822,1.14497
2090,Africa_Eastern,UnmanagedPasture_AfrCstNE,1.05924,0.915073
2090,Africa_Eastern,UrbanLand_AfrCstNE,1,1
2090,Africa_Eastern,Vegetables_AfrCstNE,1.75774,1.4618
2090,Africa_Eastern,Wheat_AfrCstNE,1.75774,1.4618
2090,Africa_Eastern,biomassGrass_AfrCstNE,1.04201,0.913513
2090,Africa_Eastern,biomassTree_AfrCstNE,1.53822,1.14497
2090,Africa_Eastern,CornC4_AfrIntN,1.17983,1.00837
2090,Africa_Eastern,FiberCrop_AfrIntN,1.26649,1.12759
2090,Africa_Eastern,FodderGrass_AfrIntN,1.17928,1.00793
2090,Africa_Eastern,FodderHerb_AfrIntN,1.26649,1.12759
2090,Africa_Eastern,FodderHerbC4_AfrIntN,1.17983,1.00837
2090,Africa_Eastern,Forest_AfrIntN,0.125,0.475371
2090,Africa_Eastern,Fruits_AfrIntN,1.26649,1.12759
2090,Africa_Eastern,FruitsTree_AfrIntN,1,1
2090,Africa_Eastern,Grassland_AfrIntN,1.17928,1.00793
2090,Africa_Eastern,Legumes_AfrIntN,1.26649,1.12759
2090,Africa_Eastern,MiscCrop_AfrIntN,1.26649,1.12759
2090,Africa_Eastern,MiscCropC4_AfrIntN,1.17983,1.00837
2090,Africa_Eastern,MiscCropTree_AfrIntN,0.125,0.475371
2090,Africa_Eastern,NutsSeeds_AfrIntN,1.26649,1.12759
2090,Africa_Eastern,NutsSeedsTree_AfrIntN,1,1
2090,Africa_Eastern,OilCrop_AfrIntN,1.26649,1.12759
2090,Africa_Eastern,OilCropTree_AfrIntN,0.125,0.475371
2090,Africa_Eastern,OilPalmTree_AfrIntN,0.125,0.475371
2090,Africa_Eastern,OtherArableLand_AfrIntN,1.26649,1.12759
2090,Africa_Eastern,OtherGrain_AfrIntN,1.26649,1.12759
2090,Africa_Eastern,OtherGrainC4_AfrIntN,1.17983,1.00837
2090,Africa_Eastern,Pasture_AfrIntN,1.17928,1.00793
2090,Africa_Eastern,ProtectedGrassland_AfrIntN,1.17928,1.00793
2090,Africa_Eastern,ProtectedShrubland_AfrIntN,1,1
2090,Africa_Eastern,ProtectedUnmanagedForest_AfrIntN,0.125,0.475371
2090,Africa_Eastern,ProtectedUnmanagedPasture_AfrIntN,1.17928,1.00793
2090,Africa_Eastern,Rice_AfrIntN,1.26649,1.12759
2090,Africa_Eastern,RockIceDesert_AfrIntN,1,1
2090,Africa_Eastern,RootTuber_AfrIntN,1.26649,1.12759
2090,Africa_Eastern,Shrubland_AfrIntN,1,1
2090,Africa_Eastern,Soybean_AfrIntN,1.26649,1.12759
2090,Africa_Eastern,SugarCrop_AfrIntN,1.26649,1.12759
2090,Africa_Eastern,SugarCropC4_AfrIntN,1.17983,1.00837
2090,Africa_Eastern,Tundra_AfrIntN,1,1
2090,Africa_Eastern,UnmanagedForest_AfrIntN,0.125,0.475371
2090,Africa_Eastern,UnmanagedPasture_AfrIntN,1.17928,1.00793
2090,Africa_Eastern,UrbanLand_AfrIntN,1,1
2090,Africa_Eastern,Vegetables_AfrIntN,1.26649,1.12759
2090,Africa_Eastern,Wheat_AfrIntN,1.26649,1.12759
2090,Africa_Eastern,biomassGrass_AfrIntN,1.17983,1.00837
2090,Africa_Eastern,biomassTree_AfrIntN,0.125,0.475371
2090,Africa_Eastern,CornC4_CongoR,1.07021,0.972266
2090,Africa_Eastern,FiberCrop_CongoR,1.12925,1.02081
2090,Africa_Eastern,FodderGrass_CongoR,1.11987,0.98299
2090,Africa_Eastern,FodderHerb_CongoR,1.12925,1.02081
2090,Africa_Eastern,FodderHerbC4_CongoR,1.07021,0.972266
2090,Africa_Eastern,Forest_CongoR,1.16,1.07483
2090,Africa_Eastern,Fruits_CongoR,1.12925,1.02081
2090,Africa_Eastern,FruitsTree_CongoR,1,1
2090,Africa_Eastern,Grassland_CongoR,1.11987,0.98299
2090,Africa_Eastern,Legumes_CongoR,1.12925,1.02081
2090,Africa_Eastern,MiscCrop_CongoR,1.12925,1.02081
2090,Africa_Eastern,MiscCropC4_CongoR,1.07021,0.972266
2090,Africa_Eastern,MiscCropTree_CongoR,1.06212,1.02587
2090,Africa_Eastern,NutsSeeds_CongoR,1.12925,1.02081
2090,Africa_Eastern,NutsSeedsTree_CongoR,1,1
2090,Africa_Eastern,OilCrop_CongoR,1.12925,1.02081
