scenario=Full feedback, category=Corn, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 1.0435e-07
scenario=Full feedback, category=FiberCrop, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 3.3448e-09
scenario=Full feedback, category=FodderGrass, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 4.7297e-07
scenario=Full feedback, category=FodderHerb, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 7.3279e-07
scenario=Full feedback, category=Fruits, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 8.9672e-09
scenario=Full feedback, category=Legumes, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 1.2345e-10
scenario=Full feedback, category=MiscCrop, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 4.6719e-05
scenario=Full feedback, category=NutsSeeds, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 5.1865e-11
scenario=Full feedback, category=OilCrop, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 4.8367e-10
scenario=Full feedback, category=OtherGrain, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 7.9407e-10
scenario=Full feedback, category=Pasture, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 1.9742e-07
scenario=Full feedback, category=Rice, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 2.7202e-09
scenario=Full feedback, category=RootTuber, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 3.9593e-08
scenario=Full feedback, category=Soybean, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 3.0440e-10
scenario=Full feedback, category=SugarCrop, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 1.4318e-08
scenario=Full feedback, category=Vegetables, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 8.1615e-08
scenario=Full feedback, category=Wheat, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 1.0179e-09
scenario=Full feedback, category=biomass, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 9.3514e-05
