scenario=Control, category=Rice, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 1.1199e-08
scenario=Control, category=Rice, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 2.0328e-10
scenario=Control, category=Rice, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 8.0387e-11
scenario=Control, category=Soybean, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 2.9608e-10
scenario=Control, category=Soybean, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 4.6621e-10
scenario=Control, category=Soybean, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 9.8380e-11
scenario=Control, category=SugarCrop, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 7.1306e-11
scenario=Control, category=SugarCrop, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 7.3866e-15
scenario=Control, category=SugarCrop, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 8.1112e-11
scenario=Control, category=Wheat, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 5.0361e-09
scenario=Control, category=Wheat, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 5.5109e-08
scenario=Control, category=agricultural energy use, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 1.2544e-09
scenario=Control, category=agricultural energy use, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 4.0644e-04
scenario=Control, category=agricultural energy use, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 5.9698e-06
scenario=Control, category=construction energy use, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 7.4918e-07
scenario=Control, category=refining, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 1.0637e-06
scenario=Control, category=refining, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 1.9321e-08
scenario=Control, category=refining, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 7.7580e-05
scenario=Control, category=trn_aviation_intl, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 1.4134e-17
scenario=Control, category=trn_aviation_intl, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 3.3003e-03
scenario=Control, category=trn_aviation_intl, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 5.4379e-07
