scenario=Control, category=Rice, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 1.1199e-08
scenario=Control, category=Rice, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 2.0328e-10
scenario=Control, category=Rice, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 8.0387e-11
scenario=Control, category=Soybean, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 2.9608e-10
scenario=Control, category=Soybean, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 4.6621e-10
scenario=Control, category=Soybean, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 9.8380e-11
scenario=Control, category=SugarCrop, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 7.1306e-11
scenario=Control, category=SugarCrop, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 7.3866e-15
scenario=Control, category=SugarCrop, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 8.1112e-11
scenario=Control, category=Wheat, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 5.0361e-09
scenario=Control, category=Wheat, region=Canada in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 5.5109e-08
scenario=Control, category=agricultural energy use, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 1.2544e-09
scenario=Control, category=agricultural energy use, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 4.0644e-04
scenario=Control, category=agricultural energy use, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 5.9698e-06
scenario=Control, category=construction energy use, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 7.4918e-07
scenario=Control, category=refining, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 1.0637e-06
scenario=Control, category=refining, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 1.9321e-08
scenario=Control, category=refining, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 7.7580e-05
scenario=Control, category=trn_aviation_intl, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 1.4134e-17
scenario=Control, category=trn_aviation_intl, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 3.3003e-03
scenario=Control, category=trn_aviation_intl, region=India in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_regions: 5.4379e-07
scenario=Full feedback, category=Corn, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 1.0435e-07
scenario=Full feedback, category=FiberCrop, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 3.3448e-09
scenario=Full feedback, category=FodderGrass, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 4.7297e-07
scenario=Full feedback, category=FodderHerb, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 7.3279e-07
scenario=Full feedback, category=Fruits, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 8.9672e-09
scenario=Full feedback, category=Legumes, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 1.2345e-10
scenario=Full feedback, category=MiscCrop, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 4.6719e-05
scenario=Full feedback, category=NutsSeeds, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 5.1865e-11
scenario=Full feedback, category=OilCrop, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 4.8367e-10
scenario=Full feedback, category=OtherGrain, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 7.9407e-10
scenario=Full feedback, category=Pasture, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 1.9742e-07
scenario=Full feedback, category=Rice, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 2.7202e-09
scenario=Full feedback, category=RootTuber, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 3.9593e-08
scenario=Full feedback, category=Soybean, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 3.0440e-10
scenario=Full feedback, category=SugarCrop, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 1.4318e-08
scenario=Full feedback, category=Vegetables, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 8.1615e-08
scenario=Full feedback, category=Wheat, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 1.0179e-09
scenario=Full feedback, category=biomass, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/direct_percent_difference: 9.3514e-05
set=1, category=Rice, region=global in ./../2025_DiVittorio_et_al/gcam/time_series_plots/ensemble_percent_difference: 2.5031e-09
